date,location,age_group,frozen_value
2021-11-07,DE,00+,6593
2021-11-08,DE,00+,6669
2021-11-09,DE,00+,7109
2021-11-10,DE,00+,7426
2021-11-11,DE,00+,7528
2021-11-12,DE,00+,7764
2021-11-13,DE,00+,7955
2021-11-14,DE,00+,8127
2021-11-15,DE,00+,8319
2021-11-16,DE,00+,8575
2021-11-17,DE,00+,8940
2021-11-18,DE,00+,9197
2021-11-19,DE,00+,9417
2021-11-20,DE,00+,9660
2021-11-21,DE,00+,9693
2021-11-22,DE,00+,9808
2021-11-23,DE,00+,10030
2021-11-24,DE,00+,10126
2021-11-25,DE,00+,10295
2021-11-26,DE,00+,10354
2021-11-27,DE,00+,10339
2021-11-28,DE,00+,10402
2021-11-29,DE,00+,10307
2021-11-30,DE,00+,10194
2021-12-01,DE,00+,9951
2021-12-02,DE,00+,9970
2021-12-03,DE,00+,9960
2021-12-04,DE,00+,9927
2021-12-05,DE,00+,9957
2021-12-06,DE,00+,10008
2021-12-07,DE,00+,10097
2021-12-08,DE,00+,10183
2021-12-09,DE,00+,10003
2021-12-10,DE,00+,9836
2021-12-11,DE,00+,9587
2021-12-12,DE,00+,9475
2021-12-13,DE,00+,9243
2021-12-14,DE,00+,8885
2021-12-15,DE,00+,8695
2021-12-16,DE,00+,8386
2021-12-17,DE,00+,8098
2021-12-18,DE,00+,7872
2021-12-19,DE,00+,7641
2021-12-20,DE,00+,7540
2021-12-21,DE,00+,7330
2021-12-22,DE,00+,6964
2021-12-23,DE,00+,6621
2021-12-24,DE,00+,6305
2021-12-25,DE,00+,5710
2021-12-26,DE,00+,5300
2021-12-27,DE,00+,5202
2021-12-28,DE,00+,5090
2021-12-29,DE,00+,4989
2021-12-30,DE,00+,4960
2021-12-31,DE,00+,5027
2022-01-01,DE,00+,5072
2022-01-02,DE,00+,5072
2022-01-03,DE,00+,5078
2022-01-04,DE,00+,5103
2022-01-05,DE,00+,5016
2022-01-06,DE,00+,4945
2022-01-07,DE,00+,4722
2022-01-08,DE,00+,4904
2022-01-09,DE,00+,5012
2022-01-10,DE,00+,4947
2022-01-11,DE,00+,4855
2022-01-12,DE,00+,4646
2022-01-13,DE,00+,4565
2022-01-14,DE,00+,4654
2022-01-15,DE,00+,4711
2022-01-16,DE,00+,4735
2022-01-17,DE,00+,4772
2022-01-18,DE,00+,4926
2022-01-19,DE,00+,5179
2022-01-20,DE,00+,5463
2022-01-21,DE,00+,5686
2022-01-22,DE,00+,5993
2022-01-23,DE,00+,6099
2022-01-24,DE,00+,6298
2022-01-25,DE,00+,6580
2022-01-26,DE,00+,6872
2022-01-27,DE,00+,6991
2022-01-28,DE,00+,7197
2022-01-29,DE,00+,7336
2022-01-30,DE,00+,7512
2022-01-31,DE,00+,7530
2022-02-01,DE,00+,7622
2022-02-02,DE,00+,7902
2022-02-03,DE,00+,8304
2022-02-04,DE,00+,8753
2022-02-05,DE,00+,9043
2022-02-06,DE,00+,9142
2022-02-07,DE,00+,9241
2022-02-08,DE,00+,9549
2022-02-09,DE,00+,9813
2022-02-10,DE,00+,9836
2022-02-11,DE,00+,9748
2022-02-12,DE,00+,9715
2022-02-13,DE,00+,9633
2022-02-14,DE,00+,9565
2022-02-15,DE,00+,9485
2022-02-16,DE,00+,9427
2022-02-17,DE,00+,9436
2022-02-18,DE,00+,9532
2022-02-19,DE,00+,9523
2022-02-20,DE,00+,9595
2022-02-21,DE,00+,9645
2022-02-22,DE,00+,9723
2022-02-23,DE,00+,9636
2022-02-24,DE,00+,9569
2022-02-25,DE,00+,9449
2022-02-26,DE,00+,9383
2022-02-27,DE,00+,9363
2022-02-28,DE,00+,9273
2022-03-01,DE,00+,9055
2022-03-02,DE,00+,8932
2022-03-03,DE,00+,8936
2022-03-04,DE,00+,8965
2022-03-05,DE,00+,8988
2022-03-06,DE,00+,8932
2022-03-07,DE,00+,8977
2022-03-08,DE,00+,9165
2022-03-09,DE,00+,9515
2022-03-10,DE,00+,9707
2022-03-11,DE,00+,9961
2022-03-12,DE,00+,10200
2022-03-13,DE,00+,10332
2022-03-14,DE,00+,10423
2022-03-15,DE,00+,10877
2022-03-16,DE,00+,11089
2022-03-17,DE,00+,11290
2022-03-18,DE,00+,11453
2022-03-19,DE,00+,11494
2022-03-20,DE,00+,11374
2022-03-21,DE,00+,11294
2022-03-22,DE,00+,11171
2022-03-23,DE,00+,11174
2022-03-24,DE,00+,11171
2022-03-25,DE,00+,11088
2022-03-26,DE,00+,11045
2022-03-27,DE,00+,11083
2022-03-28,DE,00+,11070
2022-03-29,DE,00+,11066
2022-03-30,DE,00+,10971
2022-03-31,DE,00+,10785
2022-04-01,DE,00+,10667
2022-04-02,DE,00+,10323
2022-04-03,DE,00+,10092
2022-04-04,DE,00+,9907
2022-04-05,DE,00+,9652
2022-04-06,DE,00+,9318
2022-04-07,DE,00+,9151
2022-04-08,DE,00+,8884
2022-04-09,DE,00+,8847
2022-04-10,DE,00+,8775
2022-04-11,DE,00+,8785
2022-04-12,DE,00+,8789
2022-04-13,DE,00+,8694
2022-04-14,DE,00+,8415
2022-04-15,DE,00+,8366
2022-04-16,DE,00+,7556
2022-04-17,DE,00+,7416
2022-04-18,DE,00+,7272
2022-04-19,DE,00+,6047
2022-04-20,DE,00+,6330
2022-04-21,DE,00+,6540
2022-04-22,DE,00+,6491
2022-04-23,DE,00+,7129
