date,location,age_group,frozen_value
2022-04-30,DE,00+,4090
2022-05-01,DE,00+,3825
2022-05-02,DE,00+,3542
2022-05-03,DE,00+,3462
2022-05-04,DE,00+,3477
2022-05-05,DE,00+,3469
2022-05-06,DE,00+,3550
2022-05-07,DE,00+,3526
2022-05-08,DE,00+,3309
2022-05-09,DE,00+,3116
2022-05-10,DE,00+,3246
2022-05-11,DE,00+,3259
2022-05-12,DE,00+,3186
2022-05-13,DE,00+,3248
2022-05-14,DE,00+,3242
2022-05-15,DE,00+,3069
2022-05-16,DE,00+,2928
2022-05-17,DE,00+,2750
2022-05-18,DE,00+,2683
2022-05-19,DE,00+,2669
2022-05-20,DE,00+,2598
2022-05-21,DE,00+,2561
2022-05-22,DE,00+,2407
2022-05-23,DE,00+,2309
2022-05-24,DE,00+,2261
2022-05-25,DE,00+,2129
2022-05-26,DE,00+,2017
2022-05-27,DE,00+,1561
2022-05-28,DE,00+,1641
2022-05-29,DE,00+,1523
2022-05-30,DE,00+,1426
2022-05-31,DE,00+,1445
2022-06-01,DE,00+,1516
2022-06-02,DE,00+,1623
2022-06-03,DE,00+,2031
2022-06-04,DE,00+,1989
2022-06-05,DE,00+,1895
2022-06-06,DE,00+,1814
2022-06-07,DE,00+,1252
2022-06-08,DE,00+,1609
2022-06-09,DE,00+,1976
2022-06-10,DE,00+,2218
2022-06-11,DE,00+,2430
2022-06-12,DE,00+,2300
2022-06-13,DE,00+,2238
2022-06-14,DE,00+,2989
2022-06-15,DE,00+,2882
2022-06-16,DE,00+,2945
2022-06-17,DE,00+,2548
2022-06-18,DE,00+,2795
2022-06-19,DE,00+,2638
2022-06-20,DE,00+,2534
2022-06-21,DE,00+,2783
2022-06-22,DE,00+,3202
2022-06-23,DE,00+,3632
2022-06-24,DE,00+,4293
2022-06-25,DE,00+,4338
2022-06-26,DE,00+,4114
2022-06-27,DE,00+,3917
2022-06-28,DE,00+,3884
2022-06-29,DE,00+,4089
2022-06-30,DE,00+,4307
2022-07-01,DE,00+,4608
2022-07-02,DE,00+,4783
2022-07-03,DE,00+,4538
2022-07-04,DE,00+,4313
2022-07-05,DE,00+,4624
2022-07-06,DE,00+,4752
2022-07-07,DE,00+,4858
2022-07-08,DE,00+,5023
2022-07-09,DE,00+,5068
2022-07-10,DE,00+,4827
2022-07-11,DE,00+,4629
2022-07-12,DE,00+,4681
2022-07-13,DE,00+,4948
2022-07-14,DE,00+,5263
2022-07-15,DE,00+,5595
2022-07-16,DE,00+,6183
2022-07-17,DE,00+,5899
2022-07-18,DE,00+,5591
2022-07-19,DE,00+,5418
2021-11-07,DE,00-04,62
2021-11-08,DE,00-04,58
2021-11-09,DE,00-04,63
2021-11-10,DE,00-04,70
2021-11-11,DE,00-04,80
2021-11-12,DE,00-04,73
2021-11-13,DE,00-04,80
2021-11-14,DE,00-04,85
2021-11-15,DE,00-04,81
2021-11-16,DE,00-04,80
2021-11-17,DE,00-04,89
2021-11-18,DE,00-04,97
2021-11-19,DE,00-04,92
2021-11-20,DE,00-04,87
2021-11-21,DE,00-04,87
2021-11-22,DE,00-04,88
2021-11-23,DE,00-04,85
2021-11-24,DE,00-04,91
2021-11-25,DE,00-04,92
2021-11-26,DE,00-04,84
2021-11-27,DE,00-04,94
2021-11-28,DE,00-04,89
2021-11-29,DE,00-04,83
2021-11-30,DE,00-04,96
2021-12-01,DE,00-04,93
2021-12-02,DE,00-04,98
2021-12-03,DE,00-04,105
2021-12-04,DE,00-04,96
2021-12-05,DE,00-04,103
2021-12-06,DE,00-04,95
2021-12-07,DE,00-04,86
2021-12-08,DE,00-04,85
2021-12-09,DE,00-04,76
2021-12-10,DE,00-04,73
2021-12-11,DE,00-04,80
2021-12-12,DE,00-04,80
2021-12-13,DE,00-04,80
2021-12-14,DE,00-04,87
2021-12-15,DE,00-04,94
2021-12-16,DE,00-04,100
2021-12-17,DE,00-04,105
2021-12-18,DE,00-04,97
2021-12-19,DE,00-04,99
2021-12-20,DE,00-04,87
2021-12-21,DE,00-04,89
2021-12-22,DE,00-04,86
2021-12-23,DE,00-04,90
2021-12-24,DE,00-04,80
2021-12-25,DE,00-04,76
2021-12-26,DE,00-04,68
2021-12-27,DE,00-04,67
2021-12-28,DE,00-04,60
2021-12-29,DE,00-04,61
2021-12-30,DE,00-04,56
2021-12-31,DE,00-04,66
2022-01-01,DE,00-04,72
2022-01-02,DE,00-04,66
2022-01-03,DE,00-04,69
2022-01-04,DE,00-04,70
2022-01-05,DE,00-04,69
2022-01-06,DE,00-04,76
2022-01-07,DE,00-04,88
2022-01-08,DE,00-04,108
2022-01-09,DE,00-04,112
2022-01-10,DE,00-04,104
2022-01-11,DE,00-04,108
2022-01-12,DE,00-04,118
2022-01-13,DE,00-04,119
2022-01-14,DE,00-04,119
2022-01-15,DE,00-04,139
2022-01-16,DE,00-04,127
2022-01-17,DE,00-04,127
2022-01-18,DE,00-04,129
2022-01-19,DE,00-04,148
2022-01-20,DE,00-04,171
2022-01-21,DE,00-04,175
2022-01-22,DE,00-04,192
2022-01-23,DE,00-04,190
2022-01-24,DE,00-04,179
2022-01-25,DE,00-04,172
2022-01-26,DE,00-04,193
2022-01-27,DE,00-04,221
2022-01-28,DE,00-04,223
2022-01-29,DE,00-04,209
