date,location,age_group,frozen_value
2021-11-07,DE,00+,6739
2021-11-08,DE,00+,6820
2021-11-09,DE,00+,7277
2021-11-10,DE,00+,7599
2021-11-11,DE,00+,7716
2021-11-12,DE,00+,7943
2021-11-13,DE,00+,8134
2021-11-14,DE,00+,8312
2021-11-15,DE,00+,8517
2021-11-16,DE,00+,8764
2021-11-17,DE,00+,9137
2021-11-18,DE,00+,9393
2021-11-19,DE,00+,9597
2021-11-20,DE,00+,9843
2021-11-21,DE,00+,9881
2021-11-22,DE,00+,10000
2021-11-23,DE,00+,10229
2021-11-24,DE,00+,10329
2021-11-25,DE,00+,10481
2021-11-26,DE,00+,10545
2021-11-27,DE,00+,10553
2021-11-28,DE,00+,10635
2021-11-29,DE,00+,10535
2021-11-30,DE,00+,10432
2021-12-01,DE,00+,10211
2021-12-02,DE,00+,10219
2021-12-03,DE,00+,10198
2021-12-04,DE,00+,10157
2021-12-05,DE,00+,10175
2021-12-06,DE,00+,10220
2021-12-07,DE,00+,10286
2021-12-08,DE,00+,10355
2021-12-09,DE,00+,10169
2021-12-10,DE,00+,9995
2021-12-11,DE,00+,9759
2021-12-12,DE,00+,9645
2021-12-13,DE,00+,9416
2021-12-14,DE,00+,9047
2021-12-15,DE,00+,8839
2021-12-16,DE,00+,8535
2021-12-17,DE,00+,8260
2021-12-18,DE,00+,8019
2021-12-19,DE,00+,7788
2021-12-20,DE,00+,7695
2021-12-21,DE,00+,7481
2021-12-22,DE,00+,7088
2021-12-23,DE,00+,6730
2021-12-24,DE,00+,6415
2021-12-25,DE,00+,5802
2021-12-26,DE,00+,5393
2021-12-27,DE,00+,5296
2021-12-28,DE,00+,5192
2021-12-29,DE,00+,5104
2021-12-30,DE,00+,5074
2021-12-31,DE,00+,5095
2022-01-01,DE,00+,5136
2022-01-02,DE,00+,5135
2022-01-03,DE,00+,5137
2022-01-04,DE,00+,5170
2022-01-05,DE,00+,5081
2022-01-06,DE,00+,5007
2022-01-07,DE,00+,4784
2022-01-08,DE,00+,4979
2022-01-09,DE,00+,5096
2022-01-10,DE,00+,5035
2022-01-11,DE,00+,4933
2022-01-12,DE,00+,4723
2022-01-13,DE,00+,4666
2022-01-14,DE,00+,4748
2022-01-15,DE,00+,4804
2022-01-16,DE,00+,4839
2022-01-17,DE,00+,4874
2022-01-18,DE,00+,5027
2022-01-19,DE,00+,5275
2022-01-20,DE,00+,5559
2022-01-21,DE,00+,5814
2022-01-22,DE,00+,6141
2022-01-23,DE,00+,6262
2022-01-24,DE,00+,6463
2022-01-25,DE,00+,6782
2022-01-26,DE,00+,7097
2022-01-27,DE,00+,7259
2022-01-28,DE,00+,7462
2022-01-29,DE,00+,7582
2022-01-30,DE,00+,7764
2022-01-31,DE,00+,7789
2022-02-01,DE,00+,7889
2022-02-02,DE,00+,8146
2022-02-03,DE,00+,8518
2022-02-04,DE,00+,8950
2022-02-05,DE,00+,9244
2022-02-06,DE,00+,9354
2022-02-07,DE,00+,9457
2022-02-08,DE,00+,9753
2022-02-09,DE,00+,10025
2022-02-10,DE,00+,10053
2022-02-11,DE,00+,9965
2022-02-12,DE,00+,9929
2022-02-13,DE,00+,9845
2022-02-14,DE,00+,9785
2022-02-15,DE,00+,9706
2022-02-16,DE,00+,9650
2022-02-17,DE,00+,9678
2022-02-18,DE,00+,9764
2022-02-19,DE,00+,9751
2022-02-20,DE,00+,9826
2022-02-21,DE,00+,9869
2022-02-22,DE,00+,9943
2022-02-23,DE,00+,9871
2022-02-24,DE,00+,9805
2022-02-25,DE,00+,9677
2022-02-26,DE,00+,9622
2022-02-27,DE,00+,9600
2022-02-28,DE,00+,9505
2022-03-01,DE,00+,9303
2022-03-02,DE,00+,9191
2022-03-03,DE,00+,9185
2022-03-04,DE,00+,9219
2022-03-05,DE,00+,9230
2022-03-06,DE,00+,9171
2022-03-07,DE,00+,9220
2022-03-08,DE,00+,9396
2022-03-09,DE,00+,9741
2022-03-10,DE,00+,9946
2022-03-11,DE,00+,10200
2022-03-12,DE,00+,10439
2022-03-13,DE,00+,10589
2022-03-14,DE,00+,10700
2022-03-15,DE,00+,11161
2022-03-16,DE,00+,11392
2022-03-17,DE,00+,11596
2022-03-18,DE,00+,11729
2022-03-19,DE,00+,11797
2022-03-20,DE,00+,11681
2022-03-21,DE,00+,11602
2022-03-22,DE,00+,11526
2022-03-23,DE,00+,11541
2022-03-24,DE,00+,11504
2022-03-25,DE,00+,11418
2022-03-26,DE,00+,11403
2022-03-27,DE,00+,11432
2022-03-28,DE,00+,11416
2022-03-29,DE,00+,11409
2022-03-30,DE,00+,11313
2022-03-31,DE,00+,11126
2022-04-01,DE,00+,11002
2022-04-02,DE,00+,10627
2022-04-03,DE,00+,10377
2022-04-04,DE,00+,10178
2022-04-05,DE,00+,9933
2022-04-06,DE,00+,9576
2022-04-07,DE,00+,9427
2022-04-08,DE,00+,9192
2022-04-09,DE,00+,9155
2022-04-10,DE,00+,9088
2022-04-11,DE,00+,9108
2022-04-12,DE,00+,9099
2022-04-13,DE,00+,8970
2022-04-14,DE,00+,8685
2022-04-15,DE,00+,8579
2022-04-16,DE,00+,7745
2022-04-17,DE,00+,7593
2022-04-18,DE,00+,7444
2022-04-19,DE,00+,6199
2022-04-20,DE,00+,6502
2022-04-21,DE,00+,6682
2022-04-22,DE,00+,6641
2022-04-23,DE,00+,7285
2022-04-24,DE,00+,7267
2022-04-25,DE,00+,7287
2022-04-26,DE,00+,8248
2022-04-27,DE,00+,7453
2022-04-28,DE,00+,6942
2022-04-29,DE,00+,6565
2022-04-30,DE,00+,6287
2022-05-01,DE,00+,6166
2022-05-02,DE,00+,6055
2022-05-03,DE,00+,5706
2022-05-04,DE,00+,5596
2022-05-05,DE,00+,5474
2022-05-06,DE,00+,5413
2022-05-07,DE,00+,5287
2022-05-08,DE,00+,5218
2022-05-09,DE,00+,5123
2022-05-10,DE,00+,5173
2022-05-11,DE,00+,5047
2022-05-12,DE,00+,4869
2022-05-13,DE,00+,4716
